Username,Comment
@doughlasoburu,Should I complete a single  program language before I go to the other?
@kabeerfcc4153,Very good for explanation in Urdu
@amaanahmad6490,Good video.....dude please launch your full data science course using python (beginner to advanced) on udemy...thanks
@Ray81194_mw,2 years for an entry job 😂😂😂 and here I was thinking I can get it done in 3 months
@yousuf_shah_1,NICE FOR ROADMAP PDF.
@djtonmoy1,B Sc degrees in Food science are interesting to grasp this program. Can he/she pursue this cyber Security program?
@Bkhtyrff,is that for data engineers or data analyzers? I couldn't differentiate them here?
@junta-de-ferros5y1677w,Big data
@Louis-dj1dk,Am I the only one not able to download the road map ? I've never received the confirmation e-mail (neither in my inbox nor my spams)
@GONKIOSK,"I couldnt get roadmap, mail doesnt come inbox nor spam anyway"
@kelechinwokolo9848,Need the link
@Holy_Grail_of_ML,You gave an Amazing Roadmap. Keep up the good work.
@manjukonasagar98,Totaly how much time it will take
@lemmaebissa1293,How can I learn it online?
@josesidehustle,"When I download and watch this video, it's on a different language. Why not in English?"
@MomojimohYusuf,YouTube shorts is very good rewards and nice make money in Fortnitue
@iot3136,How did you make your terminal this beautiful 🤩
@alexandrucoman1082,"for all people out there, don't waste your time energy and money buying this road mao, create your own road map with the help of AI👍"
@amersohail794,One additional skill is data scraping which will help to collect data from various sources :)
@publicname,One of the jobs that AI gonna take over FAST
@mrharilall7025,"why is AI learning being encompassed into this, for a data scientist it doesn't seem necessary"
@gabrielferreira-e9v,Благодаря тебе стал разбираться в арбитраже и связках)
@Abdelaziz-Bashir,It was a pretty good and easy explanation thank you ❤
@mann62,I am an electrical engineer. Can I proceed with my masters degree in data science? How much difficult will it be for me to master the skills I need to become a successful data scientist?
@khawar256,good part for me that i already have data sicence skills. i just have to figure out the part that misses in puzzle
@astuces.tech2.0,Are you kidding me ? You spend 3 months and you're gonna master these : 2:22 ? What a funny guy hahah
@navya-s3v,"Explore various AI/ML specializations, such as natural language processing or computer vision, to identify your specialty and expand your knowledge."
@brunoyonngleopoldo4608,"I'm dive into this world and is amazing,  Is not  easy but the learning process is amazing Is the most challenge that I'd ever had. 😍"
@hemakumargantepallidataandai,Amazing guidlines
@vikas9672,"For Data science and machine learning 
Window 11 single display language laptop is good OR not"
@SheikabdullaSheikabdulla-cy7ht,"I never seen a video like  yours 🙇 roadmap for data science is very informative. Thankyou Sir, can you upload videos about data science please.... it's very useful for us."
@FarhadYousefiRazin,20 months is about 3% of life
@zenmortal-e4d,From a non tech background which is better for career switch data scientist or devops engineer ... Can anybody help?
@tech4buinsess,Which book is best for Mathematics and statistics'?
@sinan_islam,This is why alot of people quit Data Science. You need to learn everything in the world.
@Travel_With_Mike,"Data Analyst course HINDI playlist on youtube 

https://youtu.be/YBCIVtP8hKM"
@JoshuaMicahelpeter,please don't i need to learn javascript?
@nythonvaiaa,"Valuable and insightful content that guides us on our journey into the field of data science. Thanks, Mosh!"
@rudhrar4877,can u provide cyber security roadmap plzzzz
@schmoople7673,is dsa in python a good choice or should i go for dsa in java?
@SurprisedBoomBox-xy1vy,Where to code
@vslakshmibellamkonda1547,"Hi mosh, your free roadmap link is not letting me download it"
@kishan4278,"Pls make roadmap on cybersecurity like  ethical hacking, cybersecurity engineer, pentester, cybersecurity analyst ,etc.
I m waiting..."
@michaelnmarkwe4985,Hello Mosh. Is DSA really important in Data science?
@hoebeejay9499,"Please have been searching for your data science bootcamp the one you uploaded on YouTube, can you share the link with me, thank you"
@Mr_wolf162,
@leptium,"I appreciate the value your video provides, serving as a soothing experience and a catalyst for ideas. It is not uncommon for individuals to express complaints, however, what truly matters is the effort you have invested in structuring knowledge. By organizing the learning pathway, you have made a significant contribution, despite potential criticisms. I hope to convey my success to you in August 2026, from Maine, USA."
@shanksshaki,"sir , i interested data science , but i have problem cant spoken , data science a lot talk communcation skills ? , i know basic data science"
@mikiyasdagmawi4078,like
@KushagraAgrawal-15,I am not receiving your data science roadmap in my mail even after verifying everything
@rezwananasser1594,Could you make a video about AI road map?
@Ciphertorr,thank you @programming with Mosh .I have an Doubt ? Which Language I have to Choose for DSA whether its Python or JAVA or C++ .
@speaker187,Can anyone tell me... Full roadmap for data science as beginner?
@mohamedharrish7011,"Commenters,
Which is a good pick for data science masters a Mac or a windows"
@haaziquesayyed5473,Please make a roadmap for cloud also
@haleh1118,Thanks for the video! The link to the pdf file doesnt work.
@ferneycastano2257,"If you are going to follow this roadmap, consider adding sections on soft skills and communication, project management and Agile methodologies, ethics and data privacy, domain knowledge, advanced machine learning techniques, cloud computing and data engineering, and practical projects and portfolio development.

Good Luck! 🎉"
@rajrohit488,"For an entry-level job, 3-4 hours per day for 1.5 years. You'll get an entry-level job"
@technosite2956,"Dude!!! You gotta start a Data Science course. 

- Universities are sh*t in these areas. and not only do we have to spend massive money on Tuition but also another massive money on online courses to cover for what university is doing.

- I also rely on you so much because you give the course in such fun way to love coding Plus to make it entertaining to watch unlike Collage. You also make us do exercises and then you make step by step solutions on what we missed. Honestly with your courses Universities doesn't stand a chance.

- You will find a lot of students here or even graduates apply to your courses if you make a Data Science course. I know it's tough to make. but Honestly I think No one like you make coding that much fun.

I hope you consider making these courses. <3"
@sjreditingadda337,Please make a video on AI Engineers
@sandy6T9,who wants complete data science course on python by Mosh ?? like here
@juhibiswas3455,Thanks Mosh for listening my request ❤
@TheAnchor2626,Thank you Sir
@reallmehrshad,👏
@SuffyanAsad,"Many companies consider processing big data and data wrangling as part of data scientist's job, so big data should be learnt earlier in the roadmap, perhaps after getting familiar with numpy and Pandas. Second, getting familiar with a public cloud is not mentioned here, which is also an essential skill in many jobs. 

The specifics often depends on the role, and the job expectations vary widely, some focusing more on the Data Science side, and other roles like ML Engineer focus somewhat more on data engineering and product building side. 

So use this well put together roadmap as a framework, and tweak it according to your career goals."
@SNH1315,"Thank you for making this video, this video helps me focus on the important things so that I don't waste too much time."
@Mashpotatoceo,Then why I'm wasting 4 years in college 🤓
@HMREDDYvalasala,Make a video on data analytics also
@fazlerabbiriad3375,"Please, make a data analytics roadmap."
@haniabdulrehman7774,I'm going through the python foundations now @ functions currently..Subscribed to a structured 95 hour udemy course for Data science covering all the above mentioned topics!!!!
@nandhishwaranravichandran5235,Laptop recommendation
@priscilla_pineda,Are you going to make a full course for data science? I know you teach some of the things you need to know for it.
@shutyoureys,next pls make about AI engineer
@arjunmukherjee6961,"Stsrted learning from scratch, but now I reallised that it is not for non tech people😢"
@DiyorbekEshboboyev-p4j,This is awesome and useful content thank you
@Leelasai3610,Could you please tell me the data engineering road map Mosh… That one really help full to me…
@كوكتيلضحك-ط6ج,Can You make a roadmap for CyberSecurity
@MikeDGreatAnalyst,Weldone Mosh. We hope to also get there one day
@rishabhraj1208,"next, path to AI engineer"
@rishabhraj1208,"then what is the difference between ML engineer and data scientist, the roadmap you shown for machine learning completely comes under this video"
@aadivikram1506,one thing which I wanted to ask is that can I do DSA in C++ instead of Python even in Data Scientist role?
@justsoonenough,I am studying right now to become a ML Engineer and are soon going to apply for internships. I've felt like I don't know enough (Impostor syndrome) but seeing this video made me feel better. As I have knowledge in every step but deep learning which is a course I will have soon. Thank you so much!
@faizansaeed9126,Thank you for this invaluable content. Please make a video on the road map of Data Engineering
@EyedenTT,"Bro i just did bsc in physics ,now i am thinking about switching . But I don't really know what to do"
@nickst0ne,"Thanks for the video. I'm not set on becoming a data scientist, but it's reassuring to see that with a background as a software engineer, and previously data analyst, pivoting towards data scientist would not require a lot of efforts."
