Username,Comment
@BoomerPlays.,"SUBSCRIBE!!!
WE ARE CLOSE TO 5.5K 😢❤"
@ayushagarwal8079,Scout❤ bro es baar new lena
@Afterlife-x2y,Sakbo pata hai tu jalta hai Johnny se🐍 aur kitna fake karega
@ronnygamerz88,1:33 jalo par ijjatse aur nakli hasi aur gutkha khake..😂😂
@5golikigyroulta,5cout is my inspiration ❤😊 kyuki mera bhi gyro ulta ho jata hai 😢
@rehemansesan4532,Kuch v kaho scout jitna bada bungalow nhi hai Johnny k pass
@MADHUKARKumar-n8l,jalan ka v koi hadd hai bhai ee juthi hasi mat dikho🤔🤔
@patelbittu,Kuch din pahle lambo urus lene ko bol raha tha😂 scout
@ggmemes3255,"Pehle lo fir bajo❎
Pehele bajo fir lo na lo✅"
@sellmonbhai9502,Sala liya bhi nahi or pehle hi bata raha hain 😂😂😂😂😂😂😂
@GrowthTalks69,lol😅
@UniversalMVP.,sabhi log khel k lambo nhi le pate scout bhai 😅
@HyperXGaming444,Meet up regeter kaise karna hain muze aana hain scout bhai
@allinonegyan9885,"Bhai Scout kitna fake bnega ,Pta hai teri bhut jalti hai Jonny se , aajtak kbhi cars ke baare me baat nhi ke jaise jonny ne le , isne bhi shuru kr diya mai bhi lunga Supercar , 1 nhi 2-3 lunga taki Mera bache jake bajje ."
@IncredibleCRUISER,Kitne gamers ke pass maclaren or lambo hai rakhi??🤣
@Manish_Vlogs69,Muze Meet up me aana hain
@nirmal_dhakad_002,"Jalan aise ho rhi hai ki kuch ho jaye isse mahengi car lunga or 5 lunga 
Fir bhi scout bhai aap barabari nhi kar sakti na gameplay me or na hi real life me"
@ig_ViralPodcast,Sapne dekhna buri baat nhi hain...
@suyog6530,Ye wo hi hai na jisne jonny ki mustang ko copy bola tha na😂
@akky5325,Jonny hai ki lene ke baad batata hai ye ek saal pehle hi bajne lagta hai bas sochne pe hi
